filename,language_code,transcription
common_voice_fr_17443457.wav,fr,bocsionot shes
common_voice_fr_19729258.wav,fr,sincie she preduct ostery ormonistale devegeships
common_voice_fr_19344699.wav,fr,the vigav moan labpa adet attack inotar dovi ha apresont and pehatonber
common_voice_fr_19614816.wav,fr,his umprotestrialderinivasita de denord co toritedi tiler and veracadin
common_voice_fr_18484631.wav,fr,dotorin
common_voice_fr_18049981.wav,fr,esyot to re dongo took tona relound minoi ta in a pacimon lanuisti conogy
common_voice_fr_19131912.wav,fr,fatomasami laye et was ofthen
common_voice_fr_19772465.wav,fr,sotolepolity to ided hoo house
common_voice_fr_19605270.wav,fr,the exists douter ecceshok come he wicks ar meddelia vecocne wiky midia orning
common_voice_fr_19073986.wav,fr,his staritad asked passain tingnook
common_voice_fr_19747441.wav,fr,of hance the seri iet diffise apautio dise jimmy
common_voice_fr_19545771.wav,fr,secultonytoginisi outod the mery mashacois donaondis montebi legidad
common_voice_fr_17929869.wav,fr,serede litoponoa sacontymis twas alswe son sentenovelida
common_voice_fr_19176535.wav,fr,luok ofagane ane edupruting jeofilupa nila onliti lupote palo
common_voice_fr_19629228.wav,fr,they as shifes elon halicalny ther e cagiapimolisicional
common_voice_fr_17326370.wav,fr,uthalbeat dosodaman s evo to skifol qagy
common_voice_fr_19726039.wav,fr,ratde itapas agimin jakob
common_voice_fr_19732082.wav,fr,e disondonto di o fend neste e trancomping monisan is f some
common_voice_fr_19944433.wav,fr,stineritan defont aterdericor deruist the lenedis ducompoctono
common_voice_fr_19795009.wav,fr,in a peviy pathe hao
common_voice_fr_19197142.wav,fr,citorysegicomosofer patilo who pregisi
common_voice_fr_19416710.wav,fr,passate diglambil pas cetca a mandols so set the dihizy doces teval
common_voice_fr_18949917.wav,fr,necepheu di discrict alagence magno jesim
common_voice_fr_19802976.wav,fr,on loo wep to the ne optenutive rattac hackin macaminica alita atter essic
common_voice_fr_18894920.wav,fr,don san me i' more gean yof
common_voice_fr_19653603.wav,fr,after de buok ronchu itanking a accodita de belarge to tinom beten of tenedy
